field	description	notes	collected1970to1984	collected1984to2004	collected2004to2009	collected2010toPresent
REPORT_RECEIVED_DATE	Date when report was received at DOT		0	1	0	1
IYEAR	Year incident occurred		1	1	1	1
REPORT_NUMBER	Report number	Report numbers may use different schemes between source datasets. Please refer to SOURCE.	1	1	1	1
SUPPLEMENTAL_NUMBER	Report supplemental number		0	0	0	1
REPORT_TYPE	Report type		0	0	0	1
OPERATOR_ID	Operator’s OPS-issued Operator Identification Number (OPID)		1	1	1	1
NAME	Name of operator		1	1	1	1
OPERATOR_STREET_ADDRESS	Address of Operator: Street Address		0	0	1	1
OPERATOR_CITY_NAME	Address of Operator: City		0	0	1	1
OPCOUNTY	Operator address: County or Parish		0	0	1	0
OPERATOR_STATE_ABBREVIATION	Address of Operator: State (abbreviation)		0	0	1	1
OPERATOR_POSTAL_CODE	Address of Operator: Zip code	Some ZIP codes are 5 digits, and some are 9 digits because they include the post office	0	0	1	1
LOCAL_DATETIME	Local time (24-hr clock) and date of incident		1	1	1	1
TIME_ZONE	Time Zone for local time		0	0	0	1
DAYLIGHT_SAVINGS_IND	Daylight Saving in effect?		0	0	0	1
LOCATION_STREET_ADDRESS	Location of Incident: Street Address or location description		1	1	1	1
LOCATION_CITY_NAME	Location of Incident: City		1	1	1	1
LOCATION_COUNTY_NAME	Location of Incident: County or Parish		1	1	1	1
LOCATION_STATE_ABBREVIATION	Location of Incident: State (abbreviation)		1	1	1	1
LOCATION_POSTAL_CODE	Location of Incident: Zip Code		1	1	1	1
LOCATION_LATITUDE	Location of Incident: Latitude	Inconsistent formatting	0	0	1	1
LOCATION_LONGITUDE	Location of Incident: Longitude	Inconsistent formatting	0	0	1	1
FLOW_CONT_KEY_CRIT_IND	Method of Flow Control: Key/Critical Valve – inspected in accordance with Part 192.747		0	0	0	1
FLOW_CONT_MAIN_VALVE_IND	Method of Flow Control: Main Valve other than Key/Critical		0	0	0	1
FLOW_CONT_SERVICE_VALVE_IND	Method of Flow Control: Service (curb) Valve		0	0	0	1
FLOW_CONT_METER_REG_IND	Method of Flow Control: Meter/Regulator shut-off Valve		0	0	0	1
FLOW_CONT_EXCESS_FLOW_IND	Method of Flow Control: Excess flow valve		0	0	0	1
